px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
6.61646326943,-51.0070575231,-5.03169722872,51.6800410609,1.0,38.4585667119,23.0881394087,-56.1719603227,71.884795507,-1.0
6.61264269489,-50.9776042854,-5.01905063502,51.6492518344,1.0,38.4585667119,23.0881394087,-56.1719603227,71.884795507,-1.0
13.3609795026,-26.0869894196,66.7472746615,72.8989480629,1.0,-10.9180743658,35.8051695706,-3.82333985977,37.6276973414,-1.0
-10.9075158638,35.7705435972,-3.82005593958,37.5913511679,-1.0,13.3609795026,-26.0869894196,66.7472746615,72.8989480629,1.0
-10.9075158638,35.7705435972,-3.82005593958,37.5913511679,-1.0,13.4195687924,-26.2020293753,67.0141905958,73.1952462586,1.0
-0.0934231234456,-0.788153396394,-3.59207243618,3.68022577208,-1.0,13.3609795026,-26.0869894196,66.7472746615,72.8989480629,1.0
-0.0934231234456,-0.788153396394,-3.59207243618,3.68022577208,-1.0,-10.9075158638,35.7705435972,-3.82005593958,37.5913511679,-1.0
-0.0934231234456,-0.788153396394,-3.59207243618,3.68022577208,-1.0,13.4195687924,-26.2020293753,67.0141905958,73.1952462586,1.0
-0.0934231234456,-0.788153396394,-3.59207243618,3.68022577208,-1.0,-10.9180743658,35.8051695706,-3.82333985977,37.6276973414,-1.0
-10.9180743658,35.8051695706,-3.82333985977,37.6276973414,-1.0,13.4195687924,-26.2020293753,67.0141905958,73.1952462586,1.0
-0.637409932078,26.9996770429,6.93140275521,27.8826892477,1.0,-2.44279577242,-32.9354341041,25.1971935883,41.5405801504,-1.0
-2.44130496902,-32.9019526443,25.1776521984,41.5020938228,-1.0,-0.637409932078,26.9996770429,6.93140275521,27.8826892477,1.0
-2.44130496902,-32.9019526443,25.1776521984,41.5020938228,-1.0,-0.637386330597,26.9986773214,6.92805130604,27.8808876657,1.0
-2.44279577242,-32.9354341041,25.1971935883,41.5405801504,-1.0,-0.637386330597,26.9986773214,6.92805130604,27.8808876657,1.0
-41.0987673268,-5.65064043952,-74.8258291701,85.5567313999,-1.0,27.2823308441,11.3268636327,4.11267176337,29.8253021571,1.0
27.3430272161,11.351229626,4.12315193689,29.8915221584,1.0,-41.0987673268,-5.65064043952,-74.8258291701,85.5567313999,-1.0
27.3430272161,11.351229626,4.12315193689,29.8915221584,1.0,-40.602009554,-5.58110048429,-73.9219552437,84.5230057037,-1.0
27.2823308441,11.3268636327,4.11267176337,29.8253021571,1.0,-40.602009554,-5.58110048429,-73.9219552437,84.5230057037,-1.0
18.5412836112,37.1560404529,-64.4843976591,76.6981045739,-1.0,-14.8986020493,-50.8331729211,-68.297862387,86.4325689921,1.0
-14.992675195,-51.1465650087,-68.7258197093,86.9712646803,1.0,18.5412836112,37.1560404529,-64.4843976591,76.6981045739,-1.0
-14.992675195,-51.1465650087,-68.7258197093,86.9712646803,1.0,18.5927641323,37.2620034288,-64.6688669214,76.9169766059,-1.0
-14.8986020493,-50.8331729211,-68.297862387,86.4325689921,1.0,18.5927641323,37.2620034288,-64.6688669214,76.9169766059,-1.0
2.29237147412,43.0763471561,119.989156567,127.507786071,1.0,5.63695170309,-32.3539141556,22.3836937064,39.7440799783,-1.0
5.64326813462,-32.3901680201,22.4147042686,39.7919538443,-1.0,2.29237147412,43.0763471561,119.989156567,127.507786071,1.0
5.64326813462,-32.3901680201,22.4147042686,39.7919538443,-1.0,2.27098546868,42.7227839754,118.972315157,126.431074436,1.0
5.63695170309,-32.3539141556,22.3836937064,39.7440799783,-1.0,2.27098546868,42.7227839754,118.972315157,126.431074436,1.0
38.1628061995,-12.4504016295,-108.34035375,115.538113591,1.0,-26.8996810188,30.6654520589,-24.2276064214,47.4441868461,-1.0
-26.816046094,30.571342161,-24.153965192,47.2983349371,-1.0,38.1628061995,-12.4504016295,-108.34035375,115.538113591,1.0
-26.816046094,30.571342161,-24.153965192,47.2983349371,-1.0,38.0397586605,-12.4097109109,-107.989424567,115.164018451,1.0
-26.8996810188,30.6654520589,-24.2276064214,47.4441868461,-1.0,38.0397586605,-12.4097109109,-107.989424567,115.164018451,1.0
15.0070419125,-19.4636165274,39.5754419663,46.5861615269,-1.0,-21.8042096878,21.077066112,-33.8986007204,45.4839814714,1.0
-21.6701455042,20.9445386694,-33.6898378704,45.2027128132,1.0,15.0070419125,-19.4636165274,39.5754419663,46.5861615269,-1.0
-21.6701455042,20.9445386694,-33.6898378704,45.2027128132,1.0,15.118354203,-19.6057141424,39.8665602341,46.9286953732,-1.0
-21.8042096878,21.077066112,-33.8986007204,45.4839814714,1.0,15.118354203,-19.6057141424,39.8665602341,46.9286953732,-1.0
29.9692953337,2.89086280557,43.2609578393,52.7070904853,-1.0,-55.590439174,21.0999185889,18.5089641289,62.2743639777,1.0
-55.5769523578,21.0954353695,18.5079681945,62.260509773,1.0,29.9692953337,2.89086280557,43.2609578393,52.7070904853,-1.0
-55.5769523578,21.0954353695,18.5079681945,62.260509773,1.0,30.0214459992,2.89596905351,43.3367762523,52.7992537473,-1.0
-55.590439174,21.0999185889,18.5089641289,62.2743639777,1.0,30.0214459992,2.89596905351,43.3367762523,52.7992537473,-1.0
-3.9872714437,-20.5756214243,25.5320993303,33.0326170695,1.0,82.2574038875,14.492925897,-6.32864494127,83.7638842571,-1.0
82.4483561703,14.5277598776,-6.34157198273,83.9584060184,-1.0,-3.9872714437,-20.5756214243,25.5320993303,33.0326170695,1.0
82.4483561703,14.5277598776,-6.34157198273,83.9584060184,-1.0,-4.05451936238,-20.9024973424,25.9382862659,33.5582982363,1.0
82.2574038875,14.492925897,-6.32864494127,83.7638842571,-1.0,-4.05451936238,-20.9024973424,25.9382862659,33.5582982363,1.0
-37.037435401,-14.4342138479,27.421221727,48.2913316775,-1.0,38.4562428035,15.3227804817,-1.46604043177,41.4225862361,1.0
38.3583949221,15.2846822425,-1.45996267858,41.3174373233,1.0,-37.037435401,-14.4342138479,27.421221727,48.2913316775,-1.0
38.3583949221,15.2846822425,-1.45996267858,41.3174373233,1.0,-37.017640364,-14.4260729367,27.4074729426,48.2659094525,-1.0
38.4562428035,15.3227804817,-1.46604043177,41.4225862361,1.0,-37.017640364,-14.4260729367,27.4074729426,48.2659094525,-1.0
-34.5013900068,-12.3218749421,99.4639243491,105.996499589,1.0,48.9716751174,15.0911586643,65.4089785358,83.092199817,-1.0
48.7726565371,15.0286540207,65.1336153731,82.7467913736,-1.0,-34.5013900068,-12.3218749421,99.4639243491,105.996499589,1.0
48.7726565371,15.0286540207,65.1336153731,82.7467913736,-1.0,-34.2953176875,-12.2498247937,98.8691444961,105.362924788,1.0
-1.76641565417,-1.11290579548,11.6898251433,11.8752666979,1.0,-34.5013900068,-12.3218749421,99.4639243491,105.996499589,1.0
-1.76641565417,-1.11290579548,11.6898251433,11.8752666979,1.0,48.7726565371,15.0286540207,65.1336153731,82.7467913736,-1.0
-1.76641565417,-1.11290579548,11.6898251433,11.8752666979,1.0,-34.2953176875,-12.2498247937,98.8691444961,105.362924788,1.0
-1.76641565417,-1.11290579548,11.6898251433,11.8752666979,1.0,48.9716751174,15.0911586643,65.4089785358,83.092199817,-1.0
48.9716751174,15.0911586643,65.4089785358,83.092199817,-1.0,-34.2953176875,-12.2498247937,98.8691444961,105.362924788,1.0
-41.11582475,6.5678802925,-83.612203267,93.4058873694,-1.0,41.5165864411,-5.478531056,-30.8141091946,51.9919391963,1.0
